world	filename	source_type	label	source_page	direct_image
western-frontier	01-western-saloon-awning.jpg	Pinterest Hack 2026	Western saloon awning	https://www.pinterest.com/pin/927811960757240184/	https://i.pinimg.com/736x/7d/bd/a1/7dbda1641a765d53d93fef92ca09c25b.jpg
western-frontier	02-horse-cactus-mansion.jpg	Pinterest Hack 2026	Horse cactus mansion	https://www.pinterest.com/pin/927811960757240180/	https://i.pinimg.com/736x/1e/d7/0a/1ed70acedaacaa5dd3542107a044aa6d.jpg
western-frontier	03-wooden-saloon.jpg	Pinterest Hack 2026	Wooden saloon	https://www.pinterest.com/pin/927811960757240178/	https://i.pinimg.com/736x/8a/9f/26/8a9f26f7844e142b438f12c749607cf7.jpg
western-frontier	04-desert-settlement-map.jpg	Pinterest Hack 2026	Desert settlement map	https://www.pinterest.com/pin/927811960757240176/	https://i.pinimg.com/736x/f5/48/21/f54821d211022d3e2df04b3f29a27760.jpg
western-frontier	05-western-pixel-town.jpg	Pinterest Hack 2026	Western pixel town	https://www.pinterest.com/pin/927811960757240173/	https://i.pinimg.com/736x/27/b6/38/27b638fb589e096fc94cb90df4f38bc1.jpg
candy-world	01-plush-cloud-castle.jpg	Pinterest Hack 2026	Plush cloud castle	https://www.pinterest.com/pin/927811960757240158/	https://i.pinimg.com/736x/a1/60/92/a16092f93146eed6703cb581c4cab694.jpg
candy-world	02-whimsical-game-path.jpg	Pinterest Hack 2026	Whimsical game path	https://www.pinterest.com/pin/927811960757240155/	https://i.pinimg.com/736x/b9/2b/5f/b92b5f7a9fcdb19c127a4be8afb58026.jpg
candy-world	03-neopop-plush-village.jpg	Pinterest Hack 2026	Neopop plush village	https://www.pinterest.com/pin/927811960757240154/	https://i.pinimg.com/736x/7b/f0/4b/7bf04bfddf2ad3d77a8a73921914a356.jpg
candy-world	04-pastel-village.jpg	Pinterest Hack 2026	Pastel village	https://www.pinterest.com/pin/927811960757240151/	https://i.pinimg.com/736x/79/a0/b7/79a0b7ba61bccd2edbc1c261ac424bc0.jpg
candy-world	05-pastel-fantasy-landscape.jpg	Pinterest Hack 2026	Pastel fantasy landscape	https://www.pinterest.com/pin/927811960757240142/	https://i.pinimg.com/736x/fd/bf/2f/fdbf2f545c0b2f6d8f59bdbd8e4fb344.jpg
ancient-desert	01-egyptian-city.jpg	Pinterest Hack 2026	Egyptian city	https://www.pinterest.com/pin/927811960757240092/	https://i.pinimg.com/736x/f2/ff/c8/f2ffc84bf4052ed218daf78664c20401.jpg
ancient-desert	02-classical-blue-dome-city.jpg	Pinterest Hack 2026	Classical blue dome city	https://www.pinterest.com/pin/927811960757240063/	https://i.pinimg.com/736x/f0/43/d0/f043d04ed2cb95508447930f4297a72b.jpg
ancient-desert	03-palm-desert-town.jpg	Pinterest Hack 2026	Palm desert town	https://www.pinterest.com/pin/927811960757240060/	https://i.pinimg.com/736x/26/65/49/266549c3cd07cfa69986d08edd352132.jpg
ancient-desert	04-low-poly-desert-town.jpg	Pinterest Hack 2026	Low-poly desert town	https://www.pinterest.com/pin/927811960757240044/	https://i.pinimg.com/736x/02/8a/cb/028acbc8dc7841b48aeaa30a2d184c20.jpg
ancient-desert	05-bazaar-city-block.jpg	Pinterest Hack 2026	Bazaar city block	https://www.pinterest.com/pin/927811960757240042/	https://i.pinimg.com/736x/25/55/41/255541581d452403ca5382d5ed8f4019.jpg
futuristic-utopia	01-floating-future-city.jpg	Pinterest Hack 2026	Floating future city	https://www.pinterest.com/pin/927811960757240039/	https://i.pinimg.com/736x/b2/d0/1d/b2d01dd40221d5961823e8a623784181.jpg
futuristic-utopia	02-water-city-plan.jpg	Pinterest Hack 2026	Water city plan	https://www.pinterest.com/pin/927811960757240034/	https://i.pinimg.com/736x/56/43/59/5643598ce6ab754dbd6de9f408d67563.jpg
futuristic-utopia	03-blue-accent-building.jpg	Pinterest Hack 2026	Blue accent building	https://www.pinterest.com/pin/927811960757240025/	https://i.pinimg.com/736x/8a/9a/fe/8a9afe8f4c2d24ef0e2b20dbf5ca2ee4.jpg
futuristic-utopia	04-cloud-city-skyline.jpg	Pinterest Hack 2026	Cloud city skyline	https://www.pinterest.com/pin/927811960757240024/	https://i.pinimg.com/736x/af/e8/79/afe879196598a09e3e67035486300390.jpg
futuristic-utopia	05-aerial-future-city.jpg	Pinterest Hack 2026	Aerial future city	https://www.pinterest.com/pin/927811960757240018/	https://i.pinimg.com/736x/ad/8d/72/ad8d72f5974e0dfeae6b556aee895b00.jpg
futuristic-utopia	06-interconnected-city-level.jpg	Pinterest Hack 2026	Interconnected city level	https://www.pinterest.com/pin/927811960757239945/	https://i.pinimg.com/736x/61/34/42/613442412ab1290362b5445b4cf38cca.jpg
industrial-city	01-isometric-factory.jpg	Pinterest Hack 2026	Isometric factory	https://www.pinterest.com/pin/927811960757239939/	https://i.pinimg.com/736x/41/ea/8e/41ea8e961796702661c6230501baf0c5.jpg
industrial-city	02-industrial-megastructure.jpg	Pinterest Hack 2026	Industrial megastructure	https://www.pinterest.com/pin/927811960757239928/	https://i.pinimg.com/736x/44/f9/04/44f90472f2e1d2a51393eb71140be789.jpg
industrial-city	03-pipes-tanks-factory.jpg	Pinterest Hack 2026	Pipes and tanks factory	https://www.pinterest.com/pin/927811960757239925/	https://i.pinimg.com/736x/9a/31/46/9a3146496d4d57a5d9786428742f43ba.jpg
industrial-city	04-city-h2o.jpg	Pinterest Hack 2026	Industrial water city	https://www.pinterest.com/pin/927811960757239921/	https://i.pinimg.com/736x/7d/b7/27/7db727f76dd22e7a03925e562fe23bd7.jpg
industrial-city	05-industrial-building-kit.jpg	Pinterest Hack 2026	Industrial building kit	https://www.pinterest.com/pin/927811960757239916/	https://i.pinimg.com/736x/dc/c3/81/dcc38176f599aed02b061360c3d46cd4.jpg
medieval-meadow-kingdom	01-medieval-forest-village.jpg	Pinterest Hack 2026	Medieval forest village	https://www.pinterest.com/pin/927811960757239903/	https://i.pinimg.com/736x/00/51/e3/0051e33edcfb5f44a00499e4d77c13d2.jpg
medieval-meadow-kingdom	02-castle-courtyard-ferris-wheel.jpg	Pinterest Hack 2026	Castle courtyard	https://www.pinterest.com/pin/927811960757239821/	https://i.pinimg.com/736x/26/49/49/264949b6ec9b0fd16f5df80ed6fab8cd.jpg
medieval-meadow-kingdom	03-cartoon-land-and-trees.jpg	Pinterest Hack 2026	Cartoon land and trees	https://www.pinterest.com/pin/927811960757239811/	https://i.pinimg.com/736x/ff/f3/75/fff375cf19071932212c1a9d375cfbbd.jpg
medieval-meadow-kingdom	04-castle-landform.jpg	Pinterest Hack 2026	Castle landform	https://www.pinterest.com/pin/927811960757240079/	https://i.pinimg.com/736x/7f/d6/0b/7fd60b68ec4553959ca4ad9ca422107a.jpg
medieval-meadow-kingdom	05-meadow-river-village.jpg	Pinterest added	Meadow river village	https://www.pinterest.com/pin/1122803750860209831/	https://i.pinimg.com/736x/ed/ee/fd/edeefde0fad5f2ec7fef2ce00e405218.jpg
medieval-meadow-kingdom	06-low-poly-medieval-village.jpg	Pinterest added	Low-poly medieval village	https://www.pinterest.com/pin/697846904738549813/	https://i.pinimg.com/736x/8f/75/be/8f75be1858aba9f631844170bfa37404.jpg
medieval-meadow-kingdom	07-castle-water-trees.jpg	Pinterest added	Castle with water and trees	https://www.pinterest.com/pin/787285578579459927/	https://i.pinimg.com/736x/f2/95/ff/f295fffcc3a3691331b5a702de8fb2fe.jpg
nordic-volcanic-highlands	01-volcanic-canyon.jpg	Additional reference	Volcanic canyon	https://store.steampowered.com/app/851770/Number_Hunt/	https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/851770/ss_c990d137c7659e650356a3bae9982aca333adbe4.1920x1080.jpg?t=1551149215
nordic-volcanic-highlands	02-village-facing-volcano.jpg	Additional reference	Village facing volcano	https://store.steampowered.com/app/539050/Super_Island_God_VR/	https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/539050/ss_db80f69ab40f24bc13c04245640215a244445879.1920x1080.jpg?t=1558072501
nordic-volcanic-highlands	03-volcanic-archipelago.jpg	Additional reference	Volcanic archipelago	https://www.computerbase.de/news/gaming/islanders-mobile-puzzle-city-builder-auch-fuer-ios-und-android-erschienen.95128/	https://pics.computerbase.de/1/2/0/2/2/3-c22e338b4448037a/2-1080.e7308b2d.jpg
nordic-volcanic-highlands	04-modular-lava-landscape.jpg	Additional reference	Modular lava landscape	https://www.fab.com/zh-cn/listings/542a7a88-03c0-4029-a995-9cab48dcc060	https://media.fab.com/image_previews/gallery_images/fe07e670-be12-4698-8c1e-a93cdffacff6/3897fb9d-5167-4684-9773-84bfeb538f72.jpg
nordic-volcanic-highlands	05-volcanic-settlement.jpg	Additional reference	Volcanic settlement	https://store.steampowered.com/app/456730/Valhalla_Hills_Fire_Mountains_DLC/	https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/456730/ss_441c4fba390573dcae208ec60882a2d08fad368c.1920x1080.jpg?t=1478168481
nordic-volcanic-highlands	06-volcano-shape-kit.png	Additional reference	Volcano shape kit	https://www.fab.com/listings/0f0f2bce-933f-48e8-972f-bee98604061e	https://media.fab.com/image_previews/gallery_images/4237a259-5d0e-4033-9f7e-3d65e6d7c4c9/e697d046-24a5-47c2-acab-440fa026f7d0.png
nordic-volcanic-highlands	07-volcanic-flora.jpg	Additional reference	Volcanic flora and water contrast	https://www.fab.com/zh-cn/listings/1b94bde3-6a77-4008-b461-eac9caaf22c0	https://media.fab.com/image_previews/gallery_images/4429e194-c408-4a88-b4a4-658c95b2e0d1/a107c712-7fb2-468c-9609-7ac9c44173c5.jpg
nordic-volcanic-highlands	08-volcanic-outpost.jpg	Additional reference	Volcanic outpost	https://steamdb.info/app/3634640/screenshots/	https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3634640/3739525557aa00b3d0283ad749706a04ee5f129e/ss_3739525557aa00b3d0283ad749706a04ee5f129e.jpg
nordic-volcanic-highlands	09-norway-fjord-village.jpg	Pinterest added	Norway fjord village	https://www.pinterest.com/pin/182606959861172535/	https://i.pinimg.com/736x/07/cf/9e/07cf9e5a30ebf25f7e42a3340cd1cc43.jpg
nordic-volcanic-highlands	10-gudvangen-fjord-valley.jpg	Pinterest added	Gudvangen fjord valley	https://www.pinterest.com/pin/18366310951538197/	https://i.pinimg.com/736x/6b/64/1f/6b641ff88bf6cb8ffa168154a7231f40.jpg
nordic-volcanic-highlands	11-undredal-fjord-village.jpg	Pinterest added	Undredal fjord village	https://www.pinterest.com/pin/38984353018217643/	https://i.pinimg.com/736x/c0/aa/5b/c0aa5b29737e920cd914ecbbb4a6887c.jpg
nordic-volcanic-highlands	12-southern-norway-village.jpg	Pinterest added	Southern Norway village	https://www.pinterest.com/pin/711287334872141047/	https://i.pinimg.com/736x/6d/53/58/6d5358b957005fd9edd1e05461483be9.jpg
coastal-ruins	01-ilios-architecture.jpg	Pinterest added	Ilios architecture	https://www.pinterest.com/pin/276197389643717576/	https://i.pinimg.com/736x/fc/49/0f/fc490f8d630c312a917d902d1b5e5475.jpg
coastal-ruins	02-greek-island-village.jpg	Pinterest added	Greek island village	https://www.pinterest.com/pin/15199717490507846/	https://i.pinimg.com/736x/66/4c/a5/664ca52d99d53e91ff00069506af57e3.jpg
coastal-ruins	03-atlantis-ruins.jpg	Pinterest added	Atlantis ruins	https://www.pinterest.com/pin/402087072985814619/	https://i.pinimg.com/736x/ba/36/1a/ba361ac3e33c9e756c1642e33b91ce54.jpg
coastal-ruins	04-low-poly-greek-house.jpg	Pinterest added	Low-poly ancient Greek house	https://www.pinterest.com/pin/64457838403296096/	https://i.pinimg.com/736x/50/2f/a0/502fa099b5eba60473346a6b9d67aa75.jpg
coastal-ruins	05-low-poly-island.jpg	Pinterest added	Low-poly island	https://www.pinterest.com/pin/451485931365393613/	https://i.pinimg.com/736x/09/84/bd/0984bd2be5997235fe2d61c59a907021.jpg
jungle-forest-village	01-jungle-treehouse-village.jpg	Pinterest added	Jungle treehouse village	https://www.pinterest.com/pin/668010557223966528/	https://i.pinimg.com/736x/42/23/e4/4223e4db8278b5a6d95f1b4314ef17e1.jpg
jungle-forest-village	02-low-poly-treehouse-pack.jpg	Pinterest added	Low-poly treehouse village	https://www.pinterest.com/pin/771734086146398362/	https://i.pinimg.com/736x/c3/fa/2d/c3fa2d79350cf5c8752cfe2d8cac8e30.jpg
jungle-forest-village	03-fantasy-forest-village.jpg	Pinterest added	Fantasy forest village	https://www.pinterest.com/pin/588493876291465213/	https://i.pinimg.com/736x/08/3e/36/083e3635e39a372862f73e4b6bc08cbe.jpg
jungle-forest-village	04-forest-village-concept.jpg	Pinterest added	Forest village concept	https://www.pinterest.com/pin/611082243225905863/	https://i.pinimg.com/736x/59/49/a4/5949a4ddc2e32dbd7586495cdbdbc1a8.jpg
jungle-forest-village	05-artstation-forest-village.jpg	Pinterest added	Forest village environment concept	https://www.pinterest.com/pin/474777985739874554/	https://i.pinimg.com/736x/00/e8/63/00e863587052246e8913372f8c81b7fa.jpg
ice-world	01-low-poly-ice-world.jpg	Pinterest added	Low-poly ice world	https://www.pinterest.com/pin/1069745717755918376/	https://i.pinimg.com/736x/17/fe/2a/17fe2abd7afb4df271773215ecd23b84.jpg
ice-world	02-winter-village-illustration.jpg	Pinterest added	Winter village illustration	https://www.pinterest.com/pin/349873464815552530/	https://i.pinimg.com/736x/2d/1b/27/2d1b270f35d7ff108148bcc02ba71f46.jpg
ice-world	03-winter-village-low-poly.jpg	Pinterest added	Winter village low-poly	https://www.pinterest.com/pin/785667097505549334/	https://i.pinimg.com/736x/97/ad/44/97ad44676409147b81ba83f084ebcf8a.jpg
ice-world	04-frozen-island.jpg	Pinterest added	Frozen island	https://www.pinterest.com/pin/862580134915716793/	https://i.pinimg.com/736x/29/3b/74/293b74d207db09b6c83695ca353426cc.jpg
mit-college-town	01-official-campus-map-and-index.pdf	Official MIT	MIT campus map and building index	https://whereis.mit.edu/print.html	https://web.mit.edu/facilities/maps/campusmap_index.pdf
mit-college-town	01-campus-map-page-1.png	Official MIT render	Campus map preview	local render of official PDF	https://web.mit.edu/facilities/maps/campusmap_index.pdf
mit-college-town	01-campus-map-page-2.png	Official MIT render	Building index preview	local render of official PDF	https://web.mit.edu/facilities/maps/campusmap_index.pdf
mit-college-town	02-official-campus-basemap.pdf	Official MIT	Detailed MIT campus basemap	https://whereis.mit.edu/print.html	https://web.mit.edu/facilities/maps/campus_map.pdf
mit-college-town	02-campus-basemap.jpg	Official MIT render	Detailed campus basemap preview	local render of official PDF	https://web.mit.edu/facilities/maps/campus_map.pdf
mit-college-town	03-great-dome.jpg	Official MIT OCW	Great Dome	https://ocw.mit.edu/courses/res-15-002-mission-metrics-finance-training-for-federal-credit-program-professionals-summer-2016/resources/res-15-002sum16/	https://ocw.mit.edu/courses/res-15-002-mission-metrics-finance-training-for-federal-credit-program-professionals-summer-2016/fae8027142b3a1e4fe8652f19fc47b1b_res-15-002sum16.jpg
mit-college-town	04-killian-court.jpg	Official MIT	Killian Court	https://www.mit.edu/visitmit/	https://www.mit.edu/files/images/201805/Killian-15332202212_9e9086400d_b.jpg
mit-college-town	05-infinite-corridor.jpg	Official MIT	Infinite Corridor	https://www.mit.edu/visitmit/	https://www.mit.edu/files/images/201805/Infinite2-14220670850_5b4dff377d_b.jpg
mit-college-town	06-kendall-t-entrance.jpeg	Official MIT	Kendall MIT subway entrance	https://www.mit.edu/visitmit/	https://www.mit.edu/files/images/202503/Kendall%20T%20entrance.jpeg
mit-college-town	07-mit-chapel.jpg	Official MIT	MIT Chapel	https://studentlife.mit.edu/wellbeing-support/religious-spiritual-and-ethical-life/mit-chapel/	https://studentlife.mit.edu/app/uploads/2025/04/student-studying-outside-chapel-copy-2-aspect-ratio-1-1-1100x0-c-default.jpg
mit-college-town	08-stata-center.webp	Official MIT List Visual Arts	Stata Center	https://listart.mit.edu/art-artists/ray-maria-stata-center-2004	https://listart.mit.edu/sites/default/files/styles/open_graph_image/public/media/images/architecture/gehry_stata_center_1.jpg.webp
mit-college-town	09-simmons-hall.webp	Official MIT List Visual Arts	Simmons Hall	https://listart.mit.edu/art-artists/simmons-hall-2002	https://listart.mit.edu/sites/default/files/styles/open_graph_image/public/media/images/architecture/simmons_hall_mit_cambridge_massachusetts.jpeg.webp
mit-college-town	10-baker-house.webp	Official MIT List Visual Arts	Baker House	https://listart.mit.edu/art-artists/baker-house-1949	https://listart.mit.edu/sites/default/files/styles/open_graph_image/public/media/images/2022-09/15681426078_65d6aaa0c6_o.jpg.webp
mit-college-town	11-mit-museum-kendall.jpg	Official MIT News	MIT Museum in Kendall Square	https://news.mit.edu/2022/3-questions-john-durant-new-mit-museum-kendall-square-0728	https://news.mit.edu/sites/default/files/images/202207/mit-museum-exterior.jpg
